Symbol,Name
ITW,Illinois Tool Works Inc.
IMN,Imation Corporation
IMMR,Immersion Corporation
IMPV,"Imperva, Inc."
IMPR,"Imprivata, Inc."
IMS,"IMS Health Holdings, Inc."
SAAS,"inContact, Inc."
BLOX,Infoblox Inc.
INFA,Informatica Corporation
INFY,Infosys Limited
IM,Ingram Micro Inc.
INOD,Innodata Inc.
ISSC,"Innovative Solutions and Support, Inc."
INOV,"Inovalon Holdings, Inc."
IPHI,Inphi Corporation
NSP,"Insperity, Inc."
IDTI,"Integrated Device Technology, Inc."
ISSI,"Integrated Silicon Solution, Inc."
INTC,Intel Corporation
IDN,"Intellicheck Mobilisa, Inc."
ININ,"Interactive Intelligence Group, Inc."
IMI,"Intermolecular, Inc."
INAP,Internap Corporation
IBM,International Business Machines Corporation
IIJI,"Internet Initiative Japan, Inc."
INPH,Interphase Corporation
IPG,"Interpublic Group of Companies, Inc. (The)"
INTX,"Intersections, Inc."
ISIL,Intersil Corporation
INXN,InterXion Holding N.V.
IVAC,"Intevac, Inc."
IL,"IntraLinks Holdings, Inc."
INTU,Intuit Inc.
INVN,"InvenSense, Inc."
IPAS,iPass Inc.
IPGP,IPG Photonics Corporation
IXYS,IXYS Corporation
JCOM,"j2 Global, Inc."
JASO,"JA Solar Holdings, Co., Ltd."
JBL,"Jabil Circuit, Inc."
JKHY,"Jack Henry & Associates, Inc."
JDSU,JDS Uniphase Corporation
DATE,Jiayuan.com International Ltd.
JKS,JinkoSolar Holding Company Limited
JIVE,"Jive Software, Inc."
JBT,John Bean Technologies Corporation
JNPR,"Juniper Networks, Inc."
KAI,Kadant Inc
KELYA,"Kelly Services, Inc."
KELYB,"Kelly Services, Inc."
KTEC,"Key Technology, Inc."
KTCC,Key Tronic Corporation
KFRC,"Kforce, Inc."
KE,"Kimball Electronics, Inc."
KING,King Digital Entertainment plc
KONE,Kingtone Wirelessinfo Solution Holding Ltd
KZ,KongZhong Corporation
KOPN,Kopin Corporation
KFY,Korn/Ferry International
KLIC,"Kulicke and Soffa Industries, Inc."
KVHI,"KVH Industries, Inc."
KYO,Kyocera Corporation
LLL,"L-3 Communications Holdings, Inc."
LRCX,Lam Research Corporation
LTRX,"Lantronix, Inc."
LSCC,Lattice Semiconductor Corporation
LDOS,"Leidos Holdings, Inc."
LXK,"Lexmark International, Inc."
LTRPA,"Liberty TripAdvisor Holdings, Inc."
LTRPB,"Liberty TripAdvisor Holdings, Inc."
LOCK,"LifeLock, Inc."
LPTH,"LightPath Technologies, Inc."
LECO,"Lincoln Electric Holdings, Inc."
LLTC,Linear Technology Corporation
LNKD,LinkedIn Corporation
LIQT,"LiqTech International, Inc."
LIQD,"Liquid Holdings Group, Inc."
LIVE,"LiveDeal, Inc."
LPSN,"LivePerson, Inc."
LOGI,Logitech International S.A.
LOGM,"LogMein, Inc."
LOOK,"LookSmart, Ltd."
LORL,"Loral Space and Communications, Inc."
LXFT,"Luxoft Holding, Inc."
MTSI,"M/A-COM Technology Solutions Holdings, Inc."
MGIC,Magic Software Enterprises Ltd.
MX,MagnaChip Semiconductor Corporation
MNGA,MagneGas Corporation
COOL,Majesco Entertainment Company
MAMS,"MAM Software Group, Inc."
MANH,"Manhattan Associates, Inc."
MNTX,"Manitex International, Inc."
MAN,ManpowerGroup
MRIN,Marin Software Incorporated
MKTO,"Marketo, Inc."
MRVL,Marvell Technology Group Ltd.
MTLS,Materialise NV
MTSN,"Mattson Technology, Inc."
MXIM,"Maxim Integrated Products, Inc."
MXL,"MaxLinear, Inc"
MGRC,McGrath RentCorp
MDCA,MDC Partners Inc.
MDAS,"MedAssets, Inc."
MTBC,"Medical Transcription Billing, Corp."
MDSO,"Medidata Solutions, Inc."
MLNX,"Mellanox Technologies, Ltd."
MENT,Mentor Graphics Corporation
MRGE,Merge Healthcare Incorporated.
MERU,"Meru Networks, Inc."
MCRL,"Micrel, Incorporated"
MCHP,Microchip Technology Incorporated
MU,"Micron Technology, Inc."
MSCC,Microsemi Corporation
MSFT,Microsoft Corporation
MSTR,MicroStrategy Incorporated
MM,"Millennial Media, Inc."
MNDO,MIND C.T.I. Ltd.
MIND,"Mitcham Industries, Inc."
MITK,"Mitek Systems, Inc."
MITL,Mitel Networks Corporation
MIXT,MiX Telematics Limited
MOBL,"MobileIron, Inc."
MBLY,Mobileye N.V.
MODN,"Model N, Inc."
MDSY,ModSys International Ltd.
MOKO,Moko Social Media Ltd.
MOMO,Momo Inc.
MPWR,"Monolithic Power Systems, Inc."
TYPE,Monotype Imaging Holdings Inc.
MWW,"Monster Worldwide, Inc."
MOG/A,Moog Inc.
MOSY,"MoSys, Inc."
MSI,"Motorola Solutions, Inc."
MRVC,"MRV Communications, Inc."
MFLX,"Multi-Fineline Electronix, Inc."
NATI,National Instruments Corporation
NCIT,"NCI, Inc."
NEFF,Neff Corporation
NPTN,NeoPhotonics Corporation
NETE,"Net Element, Inc."
NTAP,"NetApp, Inc."
NLST,"Netlist, Inc."
NTCT,"NetScout Systems, Inc."
NTWK,NetSol Technologies Inc.
N,Netsuite Inc
NTIP,"Network-1 Technologies, Inc."
NEWR,"New Relic, Inc."
NICE,NICE-Systems Limited
NMBL,"Nimble Storage, Inc."
NOK,Nokia Corporation
NQ,NQ Mobile Inc.
DCM,"NTT DOCOMO, Inc"
NUAN,"Nuance Communications, Inc."
NVEC,NVE Corporation
NVDA,NVIDIA Corporation
NXPI,NXP Semiconductors N.V.
OIIM,O2Micro International Limited
OCLR,"Oclaro, Inc."
OMCL,"Omnicell, Inc."
OMC,Omnicom Group Inc.
OVTI,"OmniVision Technologies, Inc."
ASGN,"On Assignment, Inc."
ON,ON Semiconductor Corporation
OTIV,On Track Innovations Ltd
OTEX,Open Text Corporation
OPWR,"Opower, Inc."
ORCL,Oracle Corporation
OSIS,"OSI Systems, Inc."
PFIN,"P & F Industries, Inc."
PANW,"Palo Alto Networks, Inc."
PCYG,"Park City Group, Inc."
PKE,Park Electrochemical Corporation
PRKR,"ParkerVision, Inc."
PAYC,"Paycom Software, Inc."
PCTY,Paylocity Holding Corporation
PCTI,"PC-Tel, Inc."
PDFS,"PDF Solutions, Inc."
PEGA,Pegasystems Inc.
PNR,Pentair plc.
PRFT,"Perficient, Inc."
PSEM,Pericom Semiconductor Corporation
PERI,Perion Network Ltd
PLAB,"Photronics, Inc."
PXLW,"Pixelworks, Inc."
PLXS,Plexus Corp.
PMCS,"PMC - Sierra, Inc."
PNTR,Pointer Telocation Ltd.
POWI,"Power Integrations, Inc."
PKT,"Procera Networks, Inc."
IPDN,"Professional Diversity Network, Inc."
PRGS,Progress Software Corporation
PFPT,"Proofpoint, Inc."
PRO,"PROS Holdings, Inc."
PTC,PTC Inc.
QTWO,"Q2 Holdings, Inc."
QADA,QAD Inc.
QADB,QAD Inc.
QIHU,Qihoo 360 Technology Co. Ltd.
QLIK,Qlik Technologies Inc.
QLGC,QLogic Corporation
QRVO,"Qorvo, Inc."
QCOM,QUALCOMM Incorporated
QSII,"Quality Systems, Inc."
QBAK,Qualstar Corporation
QLYS,"Qualys, Inc."
QTM,Quantum Corporation
QRHC,Quest Resource Holding Corporation.
QUIK,QuickLogic Corporation
QUMU,Qumu Corporation
RAX,"Rackspace Hosting, Inc"
RDCM,Radcom Ltd.
RSYS,RadiSys Corporation
RALY,Rally Software Development Corp.
RMBS,"Rambus, Inc."
RCMT,"RCM Technologies, Inc."
RLOC,"ReachLocal, Inc."
RLD,RealD Inc
RNWK,"RealNetworks, Inc."
RP,"RealPage, Inc."
RHT,"Red Hat, Inc."
RWC,RELM Wireless Corporation
SOL,Renesola Ltd.
RENN,Renren Inc.
RCII,Rent-A-Center Inc.
RESN,Resonant Inc.
RXN,Rexnord Corporation
RNG,"Ringcentral, Inc."
RHI,Robert Half International Inc.
FUEL,Rocket Fuel Inc.
RST,Rosetta Stone
RBCN,"Rubicon Technology, Inc."
RKUS,"Ruckus Wireless, Inc."
SABR,Sabre Corporation
CRM,Salesforce.com Inc
SNDK,SanDisk Corporation
SANM,Sanmina Corporation
SAP,SAP SE
SPNS,Sapiens International Corporation N.V.
SCSC,"ScanSource, Inc."
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
SGMS,Scientific Games Corp
SQI,"SciQuest, Inc."
SEAC,"SeaChange International, Inc."
STX,Seagate Technology.
SLTC,"Selectica, Inc."
SMI,Semiconductor Manufacturing International Corporation
LEDS,SemiLEDS Corporation
SMTC,Semtech Corporation
SQNS,Sequans Communications S.A.
NOW,"ServiceNow, Inc."
SGOC,"SGOCO Group, Ltd"
SHOP,Shopify Inc.
SSTK,"Shutterstock, Inc."
SWIR,"Sierra Wireless, Inc."
SIFY,Sify Technologies Limited
SIGM,"Sigma Designs, Inc."
SGMA,"SigmaTron International, Inc."
SILC,Silicom Ltd
SGI,Silicon Graphics International Corp
SLAB,"Silicon Laboratories, Inc."
SIMO,Silicon Motion Technology Corporation
SPIL,"Siliconware Precision Industries Company, Ltd."
SSNI,"Silver Spring Networks, Inc."
SLP,"Simulations Plus, Inc."
SINA,Sina Corporation
MOBI,Sky-mobi Limited
SWKS,"Skyworks Solutions, Inc."
SMT,SMART Technologies Inc.
SMSI,"Smith Micro Software, Inc."
SMTX,SMTC Corporation
SMTP,"SMTP, Inc."
SOHU,Sohu.com Inc.
SEDG,"SolarEdge Technologies, Inc."
SWI,"Solarwinds, Inc."
SLH,"Solera Holdings, Inc."
SOFO,"Sonic Foundry, Inc."
SONS,"Sonus Networks, Inc."
SFUN,SouFun Holdings Limited
SPA,Sparton Corporation
SPDC,"Speed Commerce, Inc."
ANY,Sphere 3D Corp.
SPLK,Splunk Inc.
SPSC,"SPS Commerce, Inc."
SPW,SPX Corporation
SSNC,"SS&C Technologies Holdings, Inc."
SXI,Standex International Corporation
SRT,"StarTek, Inc."
STM,STMicroelectronics N.V.
SSYS,"Stratasys, Ltd."
STRM,"Streamline Health Solutions, Inc."
SEMI,SunEdison Semiconductor Limited
SUNE,"SunEdison, Inc."
GOMO,Sungy Mobile Limited
SPWR,SunPower Corporation
SMCI,"Super Micro Computer, Inc."
SPCB,"SuperCom, Ltd."
SCON,Superconductor Technologies Inc.
SPRT,"support.com, Inc."
SYKE,"Sykes Enterprises, Incorporated"
SYMC,Symantec Corporation
SYNC,"Synacor, Inc."
SYNA,Synaptics Incorporated
SNCR,"Synchronoss Technologies, Inc."
SNX,Synnex Corporation
SNPS,"Synopsys, Inc."
SYNT,"Syntel, Inc."
SYRX,Sysorex Global Holding Corp.
DATA,"Tableau Software, Inc."
TSM,Taiwan Semiconductor Manufacturing Company Ltd.
TTWO,"Take-Two Interactive Software, Inc."
TAL,"TAL International Group, Inc."
TNGO,"Tangoe, Inc."
TMH,"Team Health Holdings, Inc."
TECD,Tech Data Corporation
TCCO,Technical Communications Corporation
TSYS,"TeleCommunication Systems, Inc."
TTEC,"TeleTech Holdings, Inc."
TNC,Tennant Company
TDC,Teradata Corporation
TSRA,"Tessera Technologies, Inc."
TXN,Texas Instruments Incorporated
TGH,Textainer Group Holdings Limited
TXTR,Textura Corporation
DSGX,The Descartes Systems Group Inc.
KEYW,The KEYW Holding Corporation
MIDD,The Middleby Corporation
RUBI,"The Rubicon Project, Inc."
ULTI,"The Ultimate Software Group, Inc."
TIGR,TigerLogic Corporation
TISA,"Top Image Systems, Ltd."
TSEM,Tower Semiconductor Ltd.
TACT,TransAct Technologies Incorporated
TZOO,Travelzoo Inc.
TRMR,"Tremor Video, Inc."
TSL,Trina Solar Limited
TRT,Trio-Tech International
TRIP,"TripAdvisor, Inc."
TBI,"TrueBlue, Inc."
TRUE,"TrueCar, Inc."
TSRI,"TSR, Inc."
TTMI,"TTM Technologies, Inc."
TUBE,"TubeMogul, Inc."
TCX,Tucows Inc.
TWIN,"Twin Disc, Incorporated"
TWTR,"Twitter, Inc."
TYL,"Tyler Technologies, Inc."
UBIC,"UBIC, Inc."
UBNT,"Ubiquiti Networks, Inc."
UCTT,"Ultra Clean Holdings, Inc."
UTEK,"Ultratech, Inc."
UIS,Unisys Corporation
UMC,United Microelectronics Corporation
UNTD,"United Online, Inc."
URI,"United Rentals, Inc."
UPIP,"Unwired Planet, Inc."
UPLD,"Upland Software, Inc."
VRNS,"Varonis Systems, Inc."
VDSI,"VASCO Data Security International, Inc."
VECO,Veeco Instruments Inc.
VEEV,Veeva Systems Inc.
VRNT,Verint Systems Inc.
VRSN,"VeriSign, Inc."
VRSK,"Verisk Analytics, Inc."
VSAT,"ViaSat, Inc."
VGGL,Viggle Inc.
VIMC,Vimicro International Corporation
VMEM,"Violin Memory, Inc."
VRTU,Virtusa Corporation
VISN,"VisionChina Media, Inc."
VMW,"Vmware, Inc."
VISI,"Volt Information Sciences, Inc."
VUZI,Vuzix Corporation
WAVX,Wave Systems Corp.
WSTG,"Wayside Technology Group, Inc."
WWWW,"Web.com Group, Inc."
WB,Weibo Corporation
WDC,Western Digital Corporation
WYY,WidePoint Corporation
WIT,Wipro Limited
WIX,Wix.com Ltd.
WDAY,"Workday, Inc."
WK,Workiva Inc.
WOWO,Wowo Limited
WPPGY,WPP plc
WSCI,WSI Industries Inc.
XLNX,"Xilinx, Inc."
XPLR,Xplore Technologies Corp
XNET,Xunlei Limited
YHOO,Yahoo! Inc.
YNDX,Yandex N.V.
YGE,Yingli Green Energy Holding Company Limited
YDLE,"Yodlee, Inc."
YOKU,Youku Tudou Inc.
YUME,"YuMe, Inc."
YY,YY Inc.
ZBRA,Zebra Technologies Corporation
ZEN,"Zendesk, Inc."
ZPIN,Zhaopin Limited
ZIXI,Zix Corporation
ZNGA,Zynga Inc.
